,DEPT,GRGC,NPRL,DEN,FE,DDLLDS,DSLLDS,SPCGds,DTC,"Sample
No.",PERM,Comments,PhiDSS,PhieN,PhiAvgSS,VCLGR,VCLND,ResRatio,ResRatio2
6493,4046.5,175.056543,0.369651,2.572154,4.399785,230.635037,126.594668,-51.464653,96.52002,,,,0.04717939393939399,0.409651,0.22841519696969698,1.0,0.8700528877887787,0.0,0.07569216846029013
6494,4047.0,166.235674,0.373894,2.580947,4.403085,187.627844,115.632987,-50.992954,96.017125,,,,0.04185030303030292,0.413894,0.22787215151515144,0.9740391310344827,0.8911130363036305,0.01232634654864582,0.0517000586896388
6495,4047.5,161.860332,0.37136,2.599178,4.456831,154.797977,105.904848,-50.494728,95.595276,,,,0.03080121212121194,0.41136,0.22108060606060598,0.9438643586206896,0.9095353135313534,0.02105575308174248,0.03393213391881037
6496,4048.0,160.810677,0.364333,2.617288,4.527082,126.845388,96.509896,-50.050377,94.815029,,,,0.01982545454545459,0.404333,0.2120792272727273,0.9366253586206896,0.9177886963696368,0.017214734230912028,0.022331420138584718
6497,4048.5,161.707005,0.351132,2.632814,4.642518,99.46515,84.195274,-49.745759,93.595179,,,,0.010415757575757396,0.391132,0.2007738787878787,0.9428069310344829,0.9088768976897693,0.009510280463720313,0.015152295118435924
6498,4049.0,161.37946,0.336205,2.650574,4.793229,72.325952,69.069099,-49.466603,92.09027,,,,-0.0003478787878789676,0.37620499999999996,0.1879285606060605,0.9405479999999999,0.8990692244224424,0.00273880059007158,0.004649621000272433
6499,4049.5,155.636848,0.321604,2.692502,5.029436,51.841548,53.941566,-49.277075,90.209409,,,,-0.025758787878788037,0.361604,0.16792260606060597,0.9009437793103448,0.9218927392739276,0.003932949950031689,0.0031011878409146674
6500,4050.0,148.866526,0.307798,2.743048,5.304071,36.874199,41.357101,-49.0327,88.311172,,,,-0.05639272727272729,0.347798,0.14570263636363634,0.8542519034482758,0.9578641914191419,0.016703657833320364,0.004829031361072766
6501,4050.5,143.334081,0.292948,2.769311,5.263717,32.443289,36.133727,-48.777357,86.553327,,,,-0.07230969696969708,0.33294799999999997,0.13031915151515144,0.8160971103448276,0.9594531353135314,0.019793285035710952,0.004364018703286883
6502,4051.0,136.251344,0.274408,2.761111,4.833961,32.863561,34.778501,-48.549616,84.84277,,,,-0.06734000000000011,0.31440799999999997,0.12353399999999992,0.767250648275862,0.9073260726072607,0.013178221668955664,0.00524717920401221
6503,4051.5,118.540462,0.243621,2.691488,3.871566,44.715111,39.605612,-48.530333,82.694002,,,,-0.02514424242424254,0.283621,0.12923837878787875,0.6451066344827586,0.7468296204620464,0.04301024070244225,0.0306822274538323
6504,4052.0,93.158709,0.204058,2.597799,2.867666,69.861683,46.843847,-48.521145,80.157404,,,,0.03163696969696953,0.244058,0.13784748484848477,0.47006006206896556,0.535012376237624,0.20904014713178942,0.1834190524783543
6505,4052.5,65.31296,0.162725,2.50081,2.262124,159.267958,53.960782,-48.378592,77.648078,,,,0.09041818181818179,0.20272500000000002,0.1465715909090909,0.2780204137931035,0.31489562706270624,0.7131274269415729,0.6767043390049318
6506,4053.0,45.09321,0.132063,2.421062,2.002035,331.867119,57.624827,-48.039832,75.482141,,,,0.13875030303030295,0.17206300000000002,0.15540665151515148,0.13857386206896552,0.14131130363036315,1.213064767480019,1.209209888036562
6507,4053.5,37.463599,0.12126,2.3691,1.943824,618.073262,55.601305,-47.819381,73.760706,,,,0.1702424242424242,0.16126000000000001,0.1657512121212121,0.0859558551724138,0.04864851485148516,1.5263280643502868,1.588626193888485
6508,4054.0,36.018752,0.123955,2.337423,1.935176,868.105392,51.4924,-47.67145,72.429412,,,,0.18944060606060614,0.163955,0.17669780303030308,0.07599139310344827,0.012834405940593797,1.6410596886503726,1.7532278924051814
6509,4054.5,36.467114,0.132547,2.322994,1.948806,917.902609,47.870949,-47.686494,71.829233,,,,0.1981854545454545,0.172547,0.18536622727272725,0.07908354482758623,0.01292681518151817,1.6592429262076998,1.7784394994361827
6510,4055.0,36.771719,0.140035,2.317759,1.972411,860.693186,45.973458,-47.675103,72.317005,Core 1,192.51,,0.2013581818181817,0.180035,0.19069659090909086,0.08118426896551723,0.022697112211221285,1.6512735026138998,1.756385212099825
6511,4055.5,37.118562,0.144802,2.314442,1.99078,782.213933,45.97027,-47.651463,73.569454,,,,0.20336848484848474,0.184802,0.19408524242424235,0.0835762896551724,0.028937788778877985,1.6293745930440713,1.7265202518969527
6512,4056.0,37.666581,0.147472,2.308877,1.982947,699.501832,47.326274,-47.636302,75.047948,,,,0.20674121212121216,0.187472,0.1971066060606061,0.08735573103448277,0.02753927392739247,1.5939525590593888,1.6984232691946597
6513,4056.5,38.182247,0.149873,2.299877,1.952621,611.555509,49.53205,-47.551741,76.259335,,,,0.21219575757575757,0.18987300000000001,0.20103437878787878,0.09091204827586205,0.021006848184818405,1.5457218887497624,1.6645816731229106
6514,4057.0,38.08907,0.15393,2.292422,1.924868,528.567365,52.143828,-47.503795,77.23213,Core 1,161.78,,0.21671393939393924,0.19393000000000002,0.20532196969696964,0.09026944827586207,0.02020313531353157,1.492711187226506,1.6076779419522493
6515,4057.5,37.762624,0.158931,2.289223,1.917569,456.184322,54.411413,-47.477246,78.042868,,,,0.21865272727272736,0.198931,0.20879186363636368,0.08801809655172416,0.0271208745874584,1.4352239832311602,1.5310604829958978
6516,4058.0,38.154684,0.162317,2.290727,1.937728,401.920944,54.952695,-47.490915,78.583526,Core 1,244.3,,0.2177412121212121,0.202317,0.21002910606060604,0.09072195862068967,0.03664942244224411,1.3810847592873656,1.463214484424886
6517,4058.5,39.082477,0.163804,2.295171,1.960537,362.429564,53.720482,-47.460632,79.098708,,,,0.21504787878787884,0.203804,0.20942593939393944,0.09712053103448275,0.045828712871286904,1.3395509369761902,1.4156496915070074
6518,4059.0,39.73074,0.16204,2.304089,1.958836,341.488994,50.356642,-47.471667,79.29847,,,,0.20964303030303036,0.20204,0.20584151515151516,0.10159131034482757,0.05367194719471922,1.3349942469516152,1.4062002302191343
6519,4059.5,39.947161,0.15876,2.315294,1.945258,328.516758,46.33283,-47.543925,79.134904,,,,0.20285212121212107,0.19876000000000002,0.20080606060606054,0.10308386896551724,0.06115709570957119,1.3503833273087287,1.4135076414041636
6520,4060.0,40.761876,0.153231,2.329541,1.944683,320.932224,42.829558,-47.72819,78.36569,Core 1,35.06,,0.1942175757575758,0.193231,0.19372428787878793,0.10870259310344828,0.0676479372937292,1.3628269781063354,1.4256010780660462
6521,4060.5,43.240079,0.147184,2.346674,1.980296,312.350343,40.137127,-47.909202,77.27936,,,,0.18383393939393927,0.18718400000000002,0.18550896969696964,0.1257936482758621,0.07679471947194742,1.350235357021086,1.425915527951807
6522,4061.0,52.063272,0.142261,2.373754,2.06673,290.926619,39.124929,-47.923706,76.178623,Core 1,66.29,,0.1674218181818182,0.182261,0.17484140909090912,0.18664325517241379,0.10157681518151804,1.2410461587684174,1.3708432979231235
6523,4061.5,62.308264,0.139103,2.402175,2.125445,258.854694,38.893516,-47.877144,75.143128,,,,0.15019696969696955,0.179103,0.16464998484848478,0.2572983724137931,0.1320611386138616,1.0973400975702212,1.2823778479304626
6524,4062.0,65.976745,0.138184,2.414438,2.085783,215.491078,39.538443,-47.749348,74.394982,,,,0.14276484848484838,0.178184,0.1604744242424242,0.2825982413793103,0.14620264026402646,0.9899146521389915,1.1781216120590796
