,DEPT,CAL1IN,CAL2IN,CDTF,GRP,ILD,ILM,ITT,SFLA,GRGC_x,DT35_x,CLYC,DSLL,DDLL_x,CLXC_x,RILS,RILM,RILD,NPRL,DEN_x,CoreNo,MD,PERM_H,PERM_V,PORO,Bdensity,GrainDensity,PhiDSS,PhieN,PhiAvgSS,VCLGR,ResRatio,GRGC_y,GCGR,BIT,CLXC_y,Neut,DEN_y,MRRS,DDLL_y,DT35_y,Phie,PhiT,BVW,BVWsxo,VClay,VCLND,ResRatio2
8244,4139.5,,,,,,,,,60.142841,67.436167,13.436574,47.793003,186.690537,13.372179,67.232575,544.015964,9204621.41,0.09447808,2.50964,,,,,,,,0.08506666666666655,0.13447808,0.10977237333333328,0.24236442068965516,1.5150920566356776,59.629,62.0784,12.25,13.3818,0.0827,2.5152,9.8132,185.1906,67.5271,0.0829,0.086,0.0719,0.0719,0.0616,0.1497156800000003,1.7003676362276114
8245,4140.0,,,,,,,,,56.344991,67.589127,13.376365,50.013435,198.452371,13.312513,67.611232,872.492499,11356389.6,0.09197788,2.506042,,,,,,,,0.08724727272727276,0.13197788,0.10961257636363637,0.21617235172413793,1.5674144343657292,55.4211,54.2149,12.25,13.3701,0.0804,2.5114,8.6412,198.3366,67.4698,0.0848,0.0874,0.0695,0.0708,0.0519,0.14049223000000005,1.7187514220898739
8246,4140.5,,,,,,,,,48.750441,68.396411,13.246316,55.626944,225.968186,13.177278,68.641658,1682.034252,14509604.7,0.08704579000000001,2.496313,,,,,,,,0.09314363636363644,0.12704579000000002,0.11009471318181824,0.16379614482758623,1.6720200056424641,49.195,45.7521,12.25,13.3569,0.0759,2.5015,6.505,219.7224,68.0852,0.0917,0.0928,0.066,0.0816,0.0217,0.11966602749999997,1.760259779432863
8247,4141.0,,,,,,,,,45.634105,68.891598,13.209892,59.393646,242.958318,13.137795,69.798952,3964.362628,17358622.73,0.08033913,2.4859,,,,,,,,0.0994545454545454,0.12033912999999999,0.1098968377272727,0.1423041724137931,1.7146083117070798,44.2386,41.7957,12.25,13.275,0.0697,2.4909,5.1424,244.6084,68.8471,0.0961,0.0961,0.0626,0.0882,0.0,0.09416304250000014,1.8108466036869522
8248,4141.5,,,,,,,,,44.599938,68.757108,13.186667,64.17623,264.282013,13.108692,70.532146,8476.314598,19476026.05,0.07399221,2.481615,,,,,,,,0.10205151515151503,0.11399221000000001,0.10802186257575752,0.13517198620689655,1.7281511281166893,42.3155,42.2068,12.25,13.1548,0.0639,2.4866,4.8063,264.8571,69.2083,0.0942,0.0942,0.0601,0.0861,0.0,0.07559747250000029,1.847196489075829
8249,4142.0,,,,,,,,,46.616011,67.869651,13.1709,65.285686,269.676023,13.084332,71.342841,16051.38393,20000000.0,0.07041114,2.484068,,,,,,,,0.10056484848484834,0.11041113999999999,0.10548799424242417,0.1490759379310345,1.6991186129963858,44.3666,45.4604,12.25,13.109,0.0606,2.489,4.9328,274.6345,68.1087,0.0917,0.0917,0.059,0.084,0.0,0.0699930650000003,1.8570306845385085
8250,4142.5,,,,,,,,,49.802853,66.475329,13.148046,65.826609,273.928954,13.050528,72.080001,36741.14824,20000000.0,0.06798237,2.48556,,,,,,,,0.09966060606060602,0.10798237,0.103821488030303,0.17105415862068965,1.6518115678705318,47.4161,49.9277,12.25,13.0958,0.0583,2.4905,5.0824,277.4998,66.6977,0.0901,0.0901,0.0587,0.0827,0.0,0.06602033250000014,1.8611088227010417
8251,4143.0,,,,,,,,,51.304737,66.21317,13.148907,66.849257,278.375933,13.049722,72.766704,62760.60048,20000000.0,0.06528863,2.492492,,,,,,,,0.09545939393939393,0.10528863,0.10037401196969696,0.18141197931034483,1.6269331686765398,49.1804,53.1635,12.25,13.0594,0.0559,2.4976,4.9876,280.8461,66.1226,0.0866,0.0866,0.0584,0.0801,0.0,0.06689141750000008,1.8545413131834074
8252,4143.5,,,,,,,,,51.340195,66.860352,13.140291,68.605432,283.831704,13.038452,73.861619,104556.7915,20000000.0,0.06257850999999999,2.498904,,,,,,,,0.09157333333333327,0.10257850999999998,0.09707592166666662,0.18165651724137932,1.619663288787725,50.1549,51.9702,12.25,13.0317,0.0534,2.504,5.1086,287.112,66.3289,0.0834,0.0834,0.0577,0.0775,0.0,0.06720564750000013,1.846184151964948
8253,4144.0,,,,,,,,,49.27245,67.966697,13.113547,69.724171,284.891687,13.004775,74.461162,176505.9323,20000000.0,0.06089819999999999,2.50037,,,,,,,,0.09068484848484831,0.1008982,0.09579152424242415,0.1673962068965517,1.6360728075229465,48.754,47.2907,12.25,13.0368,0.0518,2.5055,5.4462,291.3228,67.5332,0.0821,0.0821,0.0573,0.0764,0.0,0.06489095000000035,1.8374964196007801
