DEPTH,CPERM,CPOR,RQI,PHIZ,FZI,Facies,PHIE,RESD,RESM,RESS,WELL
3371.5,0.23,0.07,0.06,0.07,0.77,5,0.076,37.165,41.596,40.092,wb4
3372,,,,,,5,0.071,34.797,46.442,39.723,wb4
3372.5,1.21,0.10,0.11,0.11,1.05,5,0.073,33.061,41.991,41.209,wb4
3373,,,,,,5,0.090,31.268,39.728,36.911,wb4
3373.5,0.88,0.10,0.09,0.11,0.81,5,0.098,31.263,37.248,33.661,wb4
3374,,,,,,5,0.101,31.547,36.230,27.246,wb4
3374.5,0.89,0.10,0.09,0.11,0.82,5,0.104,32.141,35.568,30.403,wb4
3375,,,,,,6,0.106,32.735,36.897,29.857,wb4
3375.5,,,,,,5,0.097,33.962,37.241,33.031,wb4
3376,,,,,,5,0.103,35.237,38.635,27.749,wb4
3376.5,,,,,,5,0.108,35.240,41.736,28.510,wb4
3377,,,,,,5,0.110,35.565,46.443,43.670,wb4
3377.5,,,,,,5,0.110,35.566,47.753,63.485,wb4
3378,,,,,,5,0.109,35.566,44.373,79.215,wb4
3378.5,,,,,,4,0.105,35.566,35.816,36.815,wb4
3379,,,,,,4,0.101,34.813,34.918,26.514,wb4
3379.5,,,,,,4,0.092,32.915,38.276,49.078,wb4
3380,,,,,,4,0.083,31.013,41.206,59.543,wb4
4940,,,,,,1,0.076,23.812,,25.628,wf1
4941,,,,,,6,0.101,22.749,,26.103,wf1
4942,,,,,,7,0.093,20.956,,26.103,wf1
4943,,,,,,3,0.079,19.817,,24.477,wf1
4944,0.02,0.07,0.02,0.08,0.21,4,0.090,20.185,,21.960,wf1
4945,0.00,0.05,0.00,0.05,0.10,4,0.086,21.328,,20.748,wf1
4946,36.37,0.13,0.53,0.15,3.65,3,0.050,29.917,,41.366,wf1
4947,0.01,0.05,0.01,0.05,0.25,6,0.051,45.943,,60.405,wf1
4948,,,,,,6,0.046,61.970,,66.598,wf1
4949,0.56,0.08,0.08,0.09,0.94,7,0.044,76.433,,74.357,wf1
4950,2.23,0.13,0.13,0.15,0.84,7,0.041,77.850,,75.046,wf1
4951,1.31,0.08,0.13,0.08,1.57,8,0.070,77.850,,53.727,wf1
4952,1.77,0.09,0.14,0.09,1.50,7,0.096,75.735,,49.536,wf1
4953,0.09,0.07,0.04,0.08,0.47,6,0.083,70.371,,58.166,wf1
4954,,,,,,5,0.073,62.747,,64.789,wf1
4955,0.05,0.08,0.02,0.09,0.28,6,0.071,56.973,,63.610,wf1
4956,0.32,0.09,0.06,0.10,0.61,6,0.060,58.029,,49.293,wf1
4957,,,,,,5,0.060,63.028,,62.189,wf1
4958,0.17,0.12,0.04,0.14,0.27,6,0.068,75.897,,78.984,wf1
4959,,,,,,7,0.066,88.155,,80.218,wf1
4960,1.13,0.11,0.10,0.13,0.78,7,0.079,87.532,,69.034,wf1
4961,,,,,,7,0.100,81.335,,57.850,wf1
4962,1.15,0.10,0.10,0.12,0.90,6,0.110,75.138,,53.919,wf1
4963,1.97,0.08,0.16,0.08,1.88,5,0.103,73.003,,60.822,wf1
4964,,,,,,5,0.097,75.735,,64.789,wf1
4965,62.76,0.09,0.82,0.10,7.96,6,0.095,88.059,,65.386,wf1
4966,,,,,,7,0.081,98.844,,84.945,wf1
4967,0.10,0.05,0.05,0.05,0.93,6,0.073,87.869,,103.488,wf1
4968,81.27,0.13,0.78,0.15,5.18,6,0.077,73.231,,97.940,wf1
4969,74.82,0.13,0.75,0.15,4.94,6,0.094,58.594,,70.567,wf1
4970,146.16,0.15,0.99,0.17,5.67,8,0.128,43.653,,44.056,wf1
4971,238.51,0.16,1.22,0.19,6.44,8,0.128,47.414,,51.100,wf1
4972,0.00,0.05,0.00,0.05,0.08,6,0.084,54.918,,61.316,wf1
4973,0.00,0.03,0.01,0.03,0.21,6,0.066,59.104,,63.610,wf1
4974,,,,,,5,0.067,63.028,,80.839,wf1
4975,,,,,,5,0.074,64.196,,87.469,wf1
4976,,,,,,7,0.081,49.030,,62.306,wf1
4977,,,,,,2,0.072,45.484,,45.704,wf1
4978,,,,,,7,0.076,50.868,,46.551,wf1
4979,,,,,,6,0.076,56.251,,69.895,wf1
4980,,,,,,6,0.072,61.634,,75.735,wf1
