DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
750.5,9.6,,,2.44,,76.33,0.34,2.79,,,12.86,11.47,3.99,86.45,407.11,,,
751,9.95,,,2.42,,80.8,0.32,3.05,,,14.78,13.8,6.32,85.1,402.62,,,
751.5,11.08,,,2.44,,84.3,0.3,3.6,,,16.07,15.06,21.23,86.42,398.72,,,
752,12.21,,,2.45,,85,0.38,3.84,,,15.72,14.08,33.31,91.39,395.02,,,
752.5,12.17,,,2.52,,84.66,0.33,3.15,,,13.42,11.57,5.02,100.45,391.26,,,
753,12.18,,,2.5,,88.15,0.31,2.74,,,10.53,9.15,2.87,111.98,387.3,,,
753.5,12.29,,,2.39,,96.93,0.33,2.96,,,8.14,7.36,1.98,122.87,383.77,,,
754,11.22,,,2.37,,107.79,0.39,3.24,,,6.66,6.26,1.98,130.61,380.61,,,
754.5,10.35,,,2.31,,117.12,0.45,3.32,,,5.93,5.74,2.53,134.77,377.2,,,
755,10.18,,,2.32,,123.05,0.47,3.53,,,5.53,5.48,2.42,136.71,373.97,,,
755.5,10.07,,,2.33,,125.94,0.41,3.39,,,5.18,5.29,2.44,137.73,371.63,,,
756,10.05,,,2.35,,126.39,0.46,3.3,,,4.9,5.15,2.58,137.28,369.82,,,
756.5,10.12,,,2.36,,123.59,0.46,3.28,,,4.74,4.97,2.7,133.33,368.2,,,
757,10.07,,,2.39,,117.86,0.45,3.25,,,4.88,4.96,2.91,124.13,367.46,,,
757.5,10.03,,,2.43,,110.42,0.42,3.21,,,5.66,5.56,3.3,109.59,367.58,,,
758,10,,,2.5,,98.76,0.38,3.18,,,7.98,7.48,5.57,92.18,367.59,,,
758.5,9.57,,,2.65,,81.63,0.36,3.58,,,15.19,13.46,33.86,76.43,367.47,,,
759,9.12,,,2.66,,64.98,0.28,3.08,,,31.68,27.55,140.58,66.36,367.67,,,
759.5,9.03,,,2.69,,56.05,0.19,3.1,,,48.97,42.93,41.42,63.37,367.99,,,
760,9.15,,,2.67,,57.28,0.16,3.42,,,51.13,45.43,8.63,66.55,368.31,,,
760.5,9.25,,,2.61,,67.51,0.18,3.47,,,38.02,34.07,2.17,74.19,368.86,,,
761,9.39,,,2.57,,83.29,0.23,3.44,,,23.99,21.45,1.84,85.02,369.94,,,
761.5,9.42,,,2.51,,99.75,0.26,3.32,,,15.65,13.92,3.42,97.85,371.33,,,
762,9.53,,,2.48,,112.37,0.3,3.25,,,10.55,9.54,3.59,110.21,372.29,,,
762.5,9.6,,,2.42,,119.96,0.33,3.25,,,7.68,7.06,2.82,118.54,372.74,,,
763,9.61,,,2.38,,123.48,0.39,3.23,,,6.46,5.86,2.64,120.43,373.28,,,
763.5,9.63,,,2.39,,122.18,0.39,3.37,,,6.47,5.68,3.22,116.23,373.81,,,
764,9.62,,,2.41,,115.88,0.39,3.37,,,7.53,6.43,4.26,108.68,374,,,
764.5,9.6,,,2.44,,108.81,0.36,3,,,9.31,7.91,4.62,101.35,374.13,,,
765,9.6,,,2.45,,105.03,0.31,2.92,,,11.18,9.58,4.9,96.82,374.63,,,
765.5,9.6,,,2.44,,104.64,0.29,2.96,,,12.3,10.78,5.06,96.05,375.55,,,
766,9.61,,,2.45,,106.11,0.27,2.73,,,12.23,11.01,4.84,98.45,376.67,,,
766.5,9.66,,,2.45,,108.67,0.27,2.75,,,11.04,10.08,4.6,102.35,377.21,,,
767,9.77,,,2.44,,112.87,0.29,2.83,,,9.43,8.58,3.83,105.74,377.01,,,
767.5,9.82,,,2.45,,116.08,0.33,3.01,,,8.24,7.42,3.18,107.34,377.05,,,
768,9.84,,,2.46,,112.49,0.35,3.46,,,7.75,6.91,4.26,107.39,377.83,,,
768.5,9.81,,,2.48,,102.92,0.36,3.36,,,7.52,6.75,4.74,107.28,379.11,,,
