DEPTH,CALI,CPERM,CPOR,Density,Facies,GR,Neutron,PEF,Perm,PHIE,RESD,RESM,RESS,Sonic,SP,SW,VShale,Lithology
2419.5,9.04,,,2.62,0,133.99,0.36,3.6,0,0,10.69,12.88,10.65,89.12,539.75,0.99,0.87,0
2420,9.03,,,2.64,0,131.19,0.45,3.66,0,0,9.68,11.65,10.81,90.68,539.96,0.99,0.98,0
2420.5,9.04,,,2.61,0,128.51,0.46,3.78,0,0,8.76,10.47,9.83,92.17,540.23,0.99,0.96,0
2421,9.05,,,2.59,0,125.24,0.47,3.81,0,0.01,8.1,9.58,8.66,93.26,540.03,0.99,0.92,0
2421.5,9.04,,,2.59,0,123.37,0.48,3.88,0,0.02,7.72,9.07,8.75,93.88,539.7,0.99,0.91,0
2422,9.05,,,2.6,0,125.17,0.48,4.07,0,0.01,7.59,8.88,9.08,94.2,540.04,0.99,0.92,0
2422.5,9.05,,,2.6,0,129.01,0.52,3.72,0,0.01,7.67,8.95,8.61,94.37,540.96,0.99,0.96,0
2423,9.06,,,2.6,0,130.62,0.52,3.27,0,0.01,7.88,9.17,9.02,94.42,541.03,0.99,0.98,0
2423.5,9.09,,,2.6,0,128.2,0.51,3.63,0,0.01,8.13,9.46,8.93,94.38,539.89,0.99,0.95,0
2424,9.07,,,2.62,0,124.29,0.45,3.18,0,0,8.38,9.74,9.15,94.35,539.29,0.99,0.97,0
2424.5,9.1,,,2.61,0,122.1,0.52,3.11,0,0,8.55,9.91,9.69,94.39,540.11,0.99,1,0
2425,9.08,,,2.6,0,122.09,0.53,3.25,0,0.01,8.68,10,9.73,94.46,541.04,0.99,1,0
2425.5,9.06,,,2.58,0,123.29,0.53,3.66,0,0.01,8.83,10.13,8.98,94.45,541.03,0.99,1,0
2426,9.07,,,2.56,0,124.78,0.48,4.08,0,0.02,9.12,10.39,9.54,94.27,540.82,0.99,0.97,0
2426.5,9.07,,,2.57,0,125.86,0.49,3.87,0,0.01,9.34,10.66,10.69,93.97,541.06,0.99,1,0
2427,9.05,,,2.57,0,126.29,0.67,3.76,0,0.01,9.45,10.77,10.28,93.73,541.18,0.99,1,0
2427.5,9.03,,,2.6,0,126.38,0.52,3.54,0,0.01,9.24,10.5,10.96,93.63,540.73,0.99,1,0
2428,9.03,,,2.6,0,126.2,0.46,3.67,0,0,8.87,9.99,7.46,93.63,540.55,0.99,0.98,0
2428.5,9.04,,,2.6,0,125.57,0.44,4.26,0,0,8.57,9.54,4.78,93.67,540.79,0.99,0.93,0
2429,9.03,,,2.6,0,123.84,0.45,4.09,0,0,8.46,9.36,7.47,93.64,540.7,0.99,0.95,0
2429.5,9.04,,,2.59,0,121.28,0.5,4.1,0,0.01,8.56,9.45,8.66,93.48,540.3,0.99,1,0
2430,9.04,,,2.59,0,118.31,0.61,3.96,0,0.02,8.77,9.71,6.61,93.22,539.82,0.99,0.98,0
2430.5,9.03,,,2.6,0,116.23,0.53,3.32,0,0.02,8.93,9.95,8.58,92.88,539.04,0.99,0.96,0
2431,9.04,,,2.58,0,116.15,0.45,3.78,0,0.01,9.01,10.09,9.78,92.54,538.48,0.99,0.94,0
2431.5,9.01,,,2.57,0,117.86,0.51,4.09,0,0.02,9.04,10.18,9.61,92.35,538.9,0.99,0.98,0
2432,9,,,2.6,0,120.03,0.43,3.81,0,0,9.05,10.25,9.71,92.53,539.75,0.99,0.91,0
2432.5,9,,,2.63,0,121.44,0.48,3.63,0,0,8.97,10.19,9.54,93.23,540.43,0.99,1,0
2433,9.01,,,2.62,0,121.33,0.49,3.56,0,0,8.66,9.87,9.3,94.41,541.1,0.99,1,0
2433.5,8.99,,,2.61,0,119.56,0.45,3.52,0,0,8.15,9.31,8.17,95.71,541.61,0.99,0.97,0
2434,9,,,2.6,0,116.41,0.51,3.58,0,0.01,7.49,8.56,7.72,96.63,541.36,0.99,0.96,0
2434.5,9.01,,,2.61,0,113.99,0.58,3.7,0,0.03,6.61,7.52,9.28,96.78,540.55,0.99,0.94,0
2435,8.98,,,2.63,0,114.43,0.53,4.2,0,0.01,5.66,6.33,4.2,96.15,540.29,0.99,0.94,0
2435.5,9,,,2.69,0,116.82,0.47,4.33,0,0,5.02,5.47,2.05,95.01,541.09,0.99,0.97,0
2436,9,,,2.72,0,117.52,0.5,3.63,0,0,5.08,5.37,3.74,93.69,542.25,0.99,0.98,0
2436.5,8.97,,,2.68,0,116.23,0.56,3.51,0,0,6.01,6.27,11.61,92.44,542.91,0.99,0.96,0
2437,8.98,,,2.63,0,116,0.55,3.22,0,0.02,7.9,8.35,13.15,91.43,543.16,0.99,0.96,0
2437.5,8.95,,,2.62,0,117.78,0.54,3.29,0,0.01,10.28,11.19,12.6,90.79,543.25,0.99,0.98,0
2438,8.96,,,2.61,0,118.57,0.55,3.63,0,0.01,12.05,13.52,12.5,90.57,542.96,0.99,0.99,0
2438.5,8.95,,,2.6,0,116.84,0.54,3.93,0,0.02,12.72,14.49,12.64,90.72,542.21,0.99,0.97,0
2439,8.95,,,2.58,0,115.1,0.51,4.42,0,0.02,12.66,14.44,12.55,91.17,541.27,0.99,0.95,0
2439.5,8.97,,,2.58,0,115.72,0.6,3.79,0,0.03,12.42,14.06,12.46,91.88,540.59,0.99,0.96,0
2440,8.96,,,2.6,0,118.18,0.55,4.1,0,0.02,12,13.47,12.19,92.73,540.65,0.99,0.98,0
2440.5,8.96,,,2.62,0,118.36,0.47,4.33,0,0,11.46,12.74,12.03,93.59,541,0.99,0.98,0
2441,8.97,,,2.61,0,113.66,0.4,4.22,0,0,10.92,12.02,11.65,94.31,540.96,0.99,0.87,0
2441.5,8.98,,,2.59,0,106.78,0.53,3.97,0,0.05,10.55,11.52,11.4,94.9,540.72,0.99,0.87,0
2442,8.99,,,2.58,0,102.37,0.56,3.88,0,0.07,10.36,11.3,11.62,95.52,540.77,0.99,0.82,0
2442.5,8.98,,,2.6,0,101.52,0.58,3.9,0,0.07,10.3,11.31,12.03,96.28,540.99,0.99,0.82,0
2443,9,,,2.6,0,101.81,0.48,4.31,0,0.03,10.32,11.44,10.14,97.12,540.85,0.99,0.82,0
2443.5,9.01,,,2.57,0,101.75,0.47,4.56,0,0.04,10.32,11.55,10.1,97.85,540.39,0.99,0.82,0
2444,9,,,2.57,0,101.86,0.46,4.39,0,0.04,10.36,11.65,13.04,98.29,540.32,0.99,0.82,0
2444.5,9.01,,,2.56,0,101.9,0.51,4.11,0,0.06,10.38,11.72,12.99,98.4,540.6,0.99,0.82,0
2445,9.02,,,2.57,0,100.98,0.61,3.95,0,0.08,10.43,11.82,12.03,98.25,540.44,0.99,0.81,0
2445.5,9.01,,,2.57,0,101.07,0.56,3.99,0,0.08,10.46,11.93,12.38,97.97,540.34,0.99,0.81,0
2446,9,,,2.57,0,103.45,0.63,4.01,0,0.08,10.55,12.1,12.95,97.72,540.96,0.99,0.83,0
2446.5,8.99,,,2.59,0,106.09,0.61,3.99,0,0.07,10.63,12.3,12.7,97.54,541.31,0.99,0.86,0
2447,8.99,,,2.59,0,107.14,0.52,3.97,0,0.04,10.55,12.29,12.52,97.31,540.68,0.99,0.87,0
2447.5,8.99,,,2.58,0,106.97,0.45,3.87,0,0.02,10.05,11.76,12.52,96.89,539.73,0.99,0.87,0
2448,8.99,,,2.59,0,106.41,0.48,4.53,0,0.02,9.23,10.84,10.09,96.28,539.32,0.99,0.86,0
2448.5,8.99,,,2.63,0,106.1,0.51,4.08,0,0.03,8.5,9.95,8.12,95.64,539.74,0.99,0.86,0
2449,8.99,,,2.64,0,106.88,0.46,3.73,0,0,7.95,9.27,11.25,95.17,540.84,0.99,0.87,0
2449.5,9.03,,,2.62,0,108.03,0.45,3.89,0,0,7.65,8.86,5.6,94.85,541.41,0.99,0.88,0
2450,8.99,,,2.61,0,107.68,0.49,3.63,0,0.02,7.63,8.79,3.49,94.48,541.21,0.99,0.88,0
2450.5,9.02,,,2.61,0,105.98,0.62,3.35,0,0.05,7.8,8.97,6.62,93.94,541.18,0.99,0.86,0
2451,8.98,,,2.6,0,105.47,0.51,3.75,0,0.04,8.14,9.34,10.47,93.39,541.85,0.99,0.85,0
2451.5,8.97,,,2.6,0,106.92,0.55,3.66,0,0.05,8.5,9.79,10.09,93.1,542.64,0.99,0.87,0
2452,8.96,,,2.62,0,108.95,0.62,2.95,0,0.05,8.68,10.02,10.48,93.21,543.15,0.99,0.89,0
2452.5,8.96,,,2.61,0,109.99,0.56,2.88,0,0.04,8.51,9.8,10.54,93.52,543.38,0.99,0.9,0
2453,8.98,,,2.61,0,109.75,0.55,2.93,0,0.04,8.19,9.32,9.48,93.64,543.65,0.99,0.9,0
2453.5,9,,,2.6,0,109.55,0.58,3.58,0,0.05,7.92,8.87,9.19,93.23,543.6,0.99,0.9,0
2454,8.98,,,2.59,0,109.52,0.54,3.54,0,0.04,7.95,8.72,9.7,92.31,542.94,0.99,0.9,0
2454.5,8.98,,,2.6,0,109.91,0.5,3.71,0,0.02,8.34,9,9.81,91.1,542.3,0.99,0.9,0
2455,8.97,,,2.62,0,110.94,0.5,3.73,0,0.01,9,9.67,10.95,89.92,542.07,0.99,0.91,0
2455.5,8.98,,,2.63,0,111.78,0.53,3.82,0,0.02,9.76,10.52,11.74,89.02,541.87,0.99,0.92,0
2456,8.99,,,2.63,0,110.63,0.51,3.41,0,0.01,10.47,11.32,11.44,88.48,542.15,0.99,0.91,0
2456.5,8.98,,,2.66,0,108.1,0.5,2.87,0,0.01,10.91,11.88,11.5,88.28,542.88,0.99,0.88,0
2457,8.97,,,2.65,0,106.43,0.47,3.61,0,0,11.08,12.09,11.88,88.38,543.09,0.99,0.86,0
2457.5,8.98,,,2.64,0,106.09,0.46,3.98,0,0,11.08,12.05,12.05,88.71,542.73,0.99,0.86,0
2458,8.97,,,2.63,0,106.04,0.48,3.67,0,0.01,10.96,11.86,11.59,89.13,542.86,0.99,0.86,0
2458.5,8.97,,,2.63,0,105.86,0.49,3.72,0,0.02,10.81,11.64,11.25,89.54,543.27,0.99,0.86,0
2459,8.95,,,2.63,0,105.97,0.52,3.71,0,0.04,10.66,11.44,11.01,89.79,542.9,0.99,0.86,0
2459.5,8.96,,,2.63,0,106.14,0.48,3.33,0,0.01,10.57,11.31,11.02,89.83,542.14,0.99,0.86,0
2460,8.97,,,2.62,0,106.85,0.47,4.17,0,0.01,10.56,11.27,10.89,89.73,542.34,0.99,0.87,0
2460.5,8.95,,,2.6,0,109.04,0.52,4.45,0,0.03,10.57,11.29,10.73,89.58,543.1,0.99,0.89,0
2461,8.96,,,2.62,0,111.11,0.47,4.35,0,0,10.62,11.38,10.68,89.48,543.07,0.99,0.91,0
2461.5,8.97,,,2.63,0,111.47,0.61,3.74,0,0.04,10.67,11.51,10.84,89.49,542.75,0.99,0.91,0
2462,8.94,,,2.62,0,110.43,0.6,3.68,0,0.04,10.73,11.67,11.51,89.62,543.08,0.99,0.9,0
2462.5,8.96,,,2.63,0,108.95,0.48,3.53,0,0,10.83,11.87,9.71,89.97,543.37,0.99,0.89,0
2463,8.95,,,2.63,0,107.8,0.61,3.28,0,0.04,10.8,11.95,9.69,90.65,543.05,0.99,0.88,0
2463.5,8.95,,,2.62,0,108.41,0.56,3.21,0,0.05,10.55,11.74,11.58,91.69,542.89,0.99,0.88,0
2464,8.96,,,2.62,0,109.83,0.52,3.48,0,0.03,9.85,11.04,10.76,92.87,543.14,0.99,0.9,0
2464.5,8.95,,,2.61,0,110.24,0.44,3.75,0,0,9.05,10.11,9.07,93.77,543.36,0.99,0.9,0
2465,8.95,,,2.61,0,110.34,0.56,4.19,0,0.04,8.44,9.36,7.91,94.13,543.81,0.99,0.9,0
2465.5,8.96,,,2.63,0,111.57,0.52,3.86,0,0.02,8.3,9.12,9.95,93.96,544.22,0.99,0.92,0
2466,8.95,,,2.62,0,112.26,0.45,3.88,0,0,8.53,9.36,11.26,93.52,544.04,0.99,0.92,0
2466.5,8.94,,,2.62,0,110.83,0.47,3.84,0,0,8.9,9.84,10.41,93.15,543.93,0.99,0.91,0
2467,8.95,,,2.63,0,108.89,0.51,3.72,0,0.02,9.19,10.25,10.15,93,544.66,0.99,0.89,0
2467.5,8.95,,,2.66,0,109.28,0.48,3.04,0,0,9.32,10.43,10.38,93,545.46,0.99,0.89,0
2468,8.96,,,2.63,0,111.38,0.53,3.27,0,0.02,9.4,10.54,10.73,93.03,545.37,0.99,0.91,0
2468.5,8.94,,,2.62,0,112.09,0.49,3.97,0,0,9.58,10.75,10.74,93.03,544.69,0.99,0.92,0
2469,8.95,,,2.64,0,111.36,0.5,3.66,0,0,9.78,11.02,10.69,93.04,544.32,0.99,0.91,0
2469.5,8.95,,,2.64,0,111.42,0.52,3.68,0,0.01,9.96,11.29,10.77,93.11,545.09,0.99,0.91,0
2470,8.95,,,2.63,0,112.21,0.56,3.66,0,0.04,10.1,11.5,11.7,93.24,546.36,0.99,0.92,0
2470.5,8.98,,,2.62,0,111.96,0.54,3.59,0,0.03,10.17,11.6,9.25,93.39,546.26,0.99,0.92,0
2471,9,,,2.59,0,111.49,0.49,4.3,0,0.02,10.14,11.55,6.18,93.62,544.99,0.99,0.91,0
2471.5,9,,,2.6,0,112.05,0.5,3.99,0,0.02,9.95,11.35,8.34,94.11,544.75,0.99,0.92,0
2472,8.98,,,2.61,0,112.68,0.51,3.71,0,0.01,9.69,11,10.24,95.02,545.88,0.99,0.93,0
2472.5,8.96,,,2.61,0,112.79,0.67,4.04,0,0.04,9.4,10.59,9.11,96.24,546.86,0.99,0.93,0
2473,8.96,,,2.61,0,112.87,0.5,4.26,0,0.01,9.22,10.28,9.25,97.34,546.74,0.99,0.93,0
2473.5,8.98,,,2.62,0,113.32,0.47,4.4,0,0,9.19,10.15,6.14,97.76,545.82,0.99,0.93,0
2474,8.97,,,2.61,0,113.96,0.49,4.38,0,0.01,9.4,10.31,6.46,97.18,545.15,0.99,0.94,0
2474.5,9,,,2.62,0,115.39,0.54,4,0,0.02,9.86,10.78,10.76,95.78,544.92,0.99,0.95,0
2475,8.97,,,2.65,0,117.5,0.45,4.91,0,0,10.47,11.47,11.23,94.07,544.66,0.99,0.98,0
2475.5,8.96,,,2.68,0,119.49,0.45,4.62,0,0,11.11,12.21,12.04,92.57,544.35,0.99,0.99,0
2476,8.95,,,2.65,0,120.32,0.47,4.52,0,0,11.56,12.8,12.19,91.6,544.03,0.99,1,0
2476.5,8.97,,,2.62,0,119.7,0.41,4.2,0,0,11.78,13.12,12.04,91.19,543.97,0.99,0.89,0
2477,8.96,,,2.6,0,118.34,0.54,4.27,0,0.02,11.69,13.1,11.93,91.22,544.45,0.99,0.98,0
2477.5,8.95,,,2.62,0,116.64,0.52,4.22,0,0.01,11.49,12.86,11.74,91.55,545.14,0.99,0.97,0
2478,8.97,,,2.62,0,115.05,0.43,4.35,0,0,11.21,12.56,11.48,92.08,545.46,0.99,0.93,0
2478.5,8.96,,,2.63,0,114.02,0.49,3.84,0,0,11.02,12.35,10.96,92.73,545.35,0.99,0.94,0
2479,8.97,,,2.65,0,113.86,0.53,3.45,0,0.01,10.92,12.25,10.8,93.46,545,0.99,0.94,0
2479.5,8.97,,,2.64,0,114.06,0.43,3.77,0,0,10.77,12.14,11.1,94.24,544.36,0.99,0.94,0
2480,8.94,,,2.63,0,113.79,0.41,3.86,0,0,10.53,11.92,10.61,94.97,543.54,0.99,0.9,0
2480.5,8.95,,,2.63,0,111.76,0.44,4,0,0,10.22,11.55,9.76,95.54,543.09,0.99,0.92,0
2481,8.96,,,2.64,0,109.21,0.52,4.2,0,0.02,9.91,11.17,9.76,95.97,543.32,0.99,0.89,0
2481.5,8.96,,,2.65,0,109.57,0.5,4.49,0,0.01,9.71,10.94,10.37,96.32,543.67,0.99,0.9,0
2482,8.97,,,2.62,0,113.03,0.43,4.67,0,0,9.66,10.93,8.92,96.67,543.81,0.99,0.93,0
2482.5,8.97,,,2.61,0,115.27,0.42,4.47,0,0,9.74,11.06,6.64,96.92,543.72,0.99,0.91,0
2483,9.02,,,2.62,0,114.39,0.49,4.66,0,0,9.87,11.25,5.33,96.89,543.85,0.99,0.94,0
2483.5,8.99,,,2.62,0,112.7,0.49,5.03,0,0,10,11.44,6.03,96.45,544.32,0.99,0.93,0
2484,9,,,2.63,0,111.88,0.56,4.29,0,0.04,10.16,11.64,11.21,95.71,544.92,0.99,0.92,0
2484.5,8.97,,,2.62,0,113,0.59,3.89,0,0.04,10.36,11.9,11.14,94.9,545.04,0.99,0.93,0
2485,8.95,,,2.62,0,114.92,0.5,3.97,0,0,10.54,12.15,11.53,94.26,544.71,0.99,0.95,0
2485.5,8.95,,,2.64,0,116.56,0.45,3.86,0,0,10.64,12.28,11.65,93.93,544.25,0.99,0.97,0
2486,8.96,,,2.65,0,117.57,0.45,4.06,0,0,10.56,12.22,11.66,93.92,544.28,0.99,0.98,0
2486.5,8.95,,,2.65,0,117.62,0.42,4.45,0,0,10.4,12.04,11.56,94.15,544.76,0.99,0.95,0
2487,8.97,,,2.65,0,116.37,0.48,3.75,0,0,10.33,11.91,11.07,94.49,545.16,0.99,0.96,0
2487.5,8.96,,,2.64,0,115.75,0.53,3.95,0,0,10.37,11.87,11.68,94.84,545.01,0.99,0.96,0
2488,8.96,,,2.63,0,116.58,0.47,3.96,0,0,10.5,11.94,12.09,95.13,544.79,0.99,0.97,0
2488.5,8.95,,,2.62,0,117.64,0.44,3.81,0,0,10.78,12.18,11.16,95.32,545.07,0.99,0.97,0
2489,8.93,,,2.61,0,118.92,0.47,4.21,0,0,11.09,12.53,11.83,95.36,545.32,0.99,0.99,0
2489.5,8.94,,,2.61,0,120.34,0.46,4.35,0,0,11.43,12.89,13.21,95.23,544.95,0.99,0.98,0
2490,8.93,,,2.6,0,121.04,0.63,4.68,0,0.01,11.68,13.2,12.8,94.95,544.26,0.99,1,0
2490.5,8.91,,,2.61,0,120.83,0.56,4.13,0,0.01,11.83,13.4,12.11,94.56,544.19,0.99,1,0
2491,8.94,,,2.62,0,119.68,0.44,3.49,0,0,11.81,13.4,12.26,94.16,544.09,0.99,0.96,0
2491.5,8.93,,,2.62,0,119.02,0.49,3.66,0,0,11.75,13.33,12.48,93.76,543.21,0.99,0.99,0
2492,8.92,,,2.61,0,119.64,0.58,4.26,0,0.01,11.76,13.34,12.5,93.36,542.35,0.99,1,0
2492.5,8.91,,,2.6,0,120.2,0.51,4.44,0,0.01,11.86,13.48,12.57,92.97,542.9,0.99,1,0
2493,8.91,,,2.61,0,119.08,0.47,3.92,0,0,12.02,13.71,12.76,92.63,543.99,0.99,0.99,0
2493.5,8.92,,,2.6,0,117.74,0.48,3.93,0,0,12.12,13.91,12.84,92.37,544.03,0.99,0.98,0
2494,8.91,,,2.61,0,117.46,0.55,4.01,0,0.02,12.13,14.05,12.36,92.23,543.17,0.99,0.97,0
2494.5,8.88,,,2.61,0,118.04,0.54,4.41,0,0.02,12.1,14.11,11.38,92.27,542.24,0.99,0.98,0
2495,8.9,,,2.6,0,120.15,0.54,4.61,0,0.01,12.05,14.09,12.16,92.6,541.56,0.99,1,0
2495.5,8.87,,,2.61,0,122.48,0.52,4.21,0,0.01,11.88,13.96,12.73,93.46,541.25,0.99,1,0
2496,8.87,,,2.62,0,122.39,0.51,3.67,0,0,11.55,13.61,12.47,95.07,541.43,0.99,1,0
2496.5,8.87,,,2.62,0,119.84,0.43,3.71,0,0,11.05,13.02,11.94,97.44,541.38,0.99,0.93,0
2497,8.84,,,2.61,0,118.66,0.43,3.68,0,0,10.69,12.51,11.14,100.23,541.09,0.99,0.92,0
2497.5,8.82,,,2.6,0,121.57,0.44,3.69,0,0,10.59,12.32,12.16,102.77,541.38,0.99,0.94,0
2498,8.82,,,2.58,0,127.77,0.5,3.65,0,0.01,10.75,12.5,14.68,104.26,542.07,0.99,1,0
2498.5,8.8,,,2.56,0,133.82,0.57,3.67,0,0.01,11.07,12.95,13.89,104.18,542.02,0.99,1,0
2499,8.81,,,2.56,0,136.91,0.59,3.76,0,0.01,11.68,13.72,12.38,102.63,541.36,0.99,1,0
2499.5,8.8,,,2.59,0,137.89,0.49,3.42,0,0.01,12.64,14.89,15.48,100.29,541.26,0.99,1,0
2500,8.81,,,2.59,0,138.24,0.47,3.23,0,0,14.01,16.52,22.58,98.14,541.61,0.99,1,0
2500.5,8.8,,,2.57,0,138.93,0.4,2.94,0,0.01,15.11,17.97,25.31,97.03,541.65,0.99,0.83,0
2501,8.81,,,2.55,0,140.93,0.39,2.76,0,0.09,15.04,18.08,17.4,97.14,541.3,0.99,0.78,0
2501.5,8.78,,,2.56,0,143.78,0.37,2.76,0,0.08,13.72,16.55,11.89,97.78,540.77,0.99,0.74,0
2502,8.78,,,2.57,0,144.7,0.41,2.79,0,0.08,12.08,14.47,10.58,97.94,540.02,0.99,0.85,0
2502.5,8.8,,,2.56,0,142.09,0.38,3.13,0,0.08,11.11,13.15,10.36,97,539.59,0.99,0.76,0
2503,8.78,,,2.54,0,137.1,0.38,3.31,0,0.09,11.1,13.05,10.85,95.31,539.58,0.99,0.75,0
2503.5,8.8,,,2.56,0,132.2,0.37,3.07,0,0.08,11.59,13.67,13.93,94.02,539.36,0.99,0.74,0
2504,8.8,,,2.57,0,129.24,0.34,2.95,0,0.08,11.9,14.17,18.01,94.24,538.82,0.99,0.69,0
2504.5,8.79,,,2.55,0,127.96,0.33,3.56,0,0.08,11.64,13.95,12.9,96.23,538.46,0.99,0.65,0
2505,8.79,,,2.55,0,127.23,0.32,3.24,0,0.08,10.87,13.06,10.58,99.23,538.11,0.99,0.64,0
2505.5,8.79,,,2.55,0,127.25,0.38,3.2,0,0.09,9.88,11.87,9.42,102.12,538.06,0.99,0.75,0
2506,8.79,,,2.52,0,128.83,0.44,3.26,0,0.09,9.01,10.79,9.17,104.08,538.86,0.99,0.86,0
2506.5,8.79,,,2.5,0,130.67,0.4,3.35,0,0.11,8.31,9.93,8.53,104.98,540.1,0.99,0.76,0
2507,8.78,,,2.51,0,130.5,0.52,3.14,0,0.02,7.77,9.24,7.47,105.32,541.22,0.99,1,0
2507.5,8.8,,,2.53,0,126.44,0.48,3.13,0,0.03,7.38,8.76,7.14,105.61,542.17,0.99,0.95,0
2508,8.81,,,2.52,0,120.86,0.41,3.28,0,0.1,7.22,8.56,7.53,106.12,542.58,0.99,0.79,0
2508.5,8.79,,,2.51,0,118.02,0.39,3.23,0,0.11,7.19,8.55,7.71,106.77,542.69,0.99,0.73,0
2509,8.79,,,2.5,0,118.93,0.45,3.22,0,0.09,7.25,8.66,7.71,107.32,542.82,0.99,0.86,0
2509.5,8.8,,,2.5,0,121.78,0.5,3.23,0,0.03,7.44,8.89,7.4,107.56,542.34,0.99,0.97,0
2510,8.81,,,2.51,0,125.27,0.51,3.22,0,0.02,7.75,9.28,8.11,107.44,541.34,0.99,0.98,0
2510.5,8.8,,,2.5,0,128.82,0.51,3.3,0,0.02,8.15,9.83,10.78,106.94,540.81,0.99,0.98,0
2511,8.79,,,2.5,0,131.36,0.45,3.29,0,0.1,8.45,10.34,13.19,106.07,540.82,0.99,0.85,0
2511.5,8.8,,,2.5,0,131.84,0.46,3.36,0,0.08,8.24,10.32,9.68,104.76,540.85,0.99,0.87,0
2512,8.83,,,2.51,0,129.8,0.44,3.73,0,0.1,7.27,9.28,8.34,103,540.59,0.99,0.85,0
2512.5,8.83,,,2.55,0,126.49,0.45,3.81,0,0.05,5.84,7.45,7.41,101.05,540.04,0.99,0.92,0
2513,8.88,,,2.58,0,122.45,0.44,3.85,0,0.04,4.74,5.9,6.59,99.4,539.9,0.99,0.93,0
2513.5,8.84,,,2.6,0,117.64,0.44,3.85,0,0.04,4.42,5.31,6.99,98.47,540.33,0.99,0.93,0
2514,8.82,,,2.62,0,113.91,0.37,3.64,0,0.05,4.89,5.71,7.48,98.3,540.54,0.99,0.81,0
2514.5,8.84,,,2.64,0,113.51,0.35,3.44,0,0.05,5.9,6.9,7.62,98.44,540.65,0.99,0.78,0
2515,8.82,,,2.63,0,116.56,0.42,3.72,0,0.03,6.98,8.35,7.76,98.36,541.02,0.99,0.92,0
2515.5,8.86,,,2.64,0,119.62,0.39,3.64,0,0.04,7.81,9.52,8.24,97.77,541.12,0.99,0.86,0
2516,8.85,,,2.64,0,119.85,0.37,3.63,0,0.04,8.5,10.48,9.89,96.69,541.04,0.99,0.82,0
2516.5,8.82,,,2.62,0,118.79,0.36,3.65,0,0.05,9.27,11.57,10.92,95.38,541.35,0.99,0.79,0
2517,8.79,,,2.65,0,118.01,0.31,3.67,0,0.04,9.96,12.64,10.64,94.24,541.67,0.99,0.72,0
2517.5,8.76,,,2.65,0,115.84,0.34,3.7,0,0.04,10.32,13.27,11.33,93.81,541.53,0.99,0.78,0
2518,8.76,,,2.66,0,113.21,0.36,3.73,0,0.03,10.06,13.06,10.04,94.58,541.42,0.99,0.82,0
2518.5,8.74,,,2.66,0,114.02,0.34,3.71,0,0.03,9.42,12.19,8.92,96.43,541.83,0.99,0.79,0
2519,8.74,,,2.66,0,117.59,0.31,3.69,0,0.04,8.67,11.05,7.99,98.14,542.27,0.99,0.73,0
2519.5,8.73,,,2.63,0,120.31,0.36,4.13,0,0.06,8.15,10.13,8.44,98.19,542.45,0.99,0.74,0
2520,8.71,,,2.62,0,120.59,0.4,4.2,0,0.06,8.34,10.06,8.59,95.7,542.45,0.99,0.74,0
2520.5,8.71,,,2.62,0,118.35,0.38,3.85,0,0.07,9.59,11.33,10.33,90.86,542.33,0.99,0.72,0
2521,8.73,,,2.62,0,111.97,0.37,3.22,0,0.07,12.06,14.15,22.03,84.83,542.57,0.99,0.67,0
2521.5,8.7,,,2.61,0,101.45,0.28,2.8,0,0.06,16.47,19.56,22.9,78.99,543.31,0.99,0.59,0
2522,8.71,,,2.58,1,90.04,0.21,2.42,0,0.06,23.19,28.34,14.4,74.17,544.1,0.99,0.45,0
2522.5,8.69,,,2.52,1,78.37,0.19,1.86,0.01,0.09,31.26,39.23,17.15,70.48,544.99,0.99,0.33,0
2523,8.62,,,2.48,1,66.07,0.19,2.26,0.02,0.1,40.13,50.84,23.48,67.63,545.98,0.99,0.29,2
2523.5,8.6,,,2.52,1,58.59,0.14,3.03,0.01,0.08,48.9,62.34,25.41,65.35,546.74,0.99,0.24,2
2524,8.61,,,2.61,2,59.9,0.11,3.07,0,0.03,53.97,69.47,34.55,63.74,547.34,0.99,0.26,2
2524.5,8.59,,,2.67,0,65.12,0.1,4.03,0,0,52.46,67.59,79.3,63.43,547.58,0.99,0.31,0
2525,8.57,,,2.73,0,71.89,0.13,4.71,0,0,45.98,58.82,61.72,64.74,547.45,0.99,0.36,0
2525.5,8.59,,,2.74,0,82.71,0.12,4.56,0,0,38.8,49.1,21.53,67.07,547.36,0.99,0.42,0
2526,8.62,,,2.71,0,93.77,0.13,4.1,0,0,32.56,40.78,22.02,69.44,547.46,0.99,0.41,0
2526.5,8.63,,,2.64,0,99.83,0.16,3.34,0,0.02,28.02,34.63,28.72,71.28,547.67,0.99,0.4,0
2527,8.62,,,2.59,1,101.94,0.16,3.16,0,0.05,25.71,31.28,18.08,72.86,548.01,0.99,0.35,0
2527.5,8.69,,,2.58,1,102.14,0.14,3.17,0,0.05,23.66,28.7,15.84,75.03,548.39,0.99,0.29,2
2528,8.66,,,2.58,1,101.76,0.15,3.24,0,0.05,20.6,24.87,14.13,78.1,549.18,0.99,0.32,0
2528.5,8.7,,,2.58,1,104.56,0.16,3.28,0,0.05,17.12,20.49,13.24,81.28,550.13,0.99,0.33,0
2529,8.75,,,2.6,1,111.04,0.2,3.65,0,0.04,14.44,17.16,10.85,83.44,550.67,0.99,0.45,0
2529.5,8.77,,,2.61,1,118.26,0.22,3.63,0,0.04,12.93,15.21,10.88,84.37,551.04,0.99,0.5,0
